participant_id,session_id,island_id,phase,event_type,trial_index,phase_trial_index,distractor_id,distractor_name,weight_target,onset_ms,offset_ms,planned_duration_ms,actual_duration_ms,dp_elapsed_onset_ms,dp_elapsed_offset_ms,active_count_at_onset,active_set_at_onset,distractor_base_seed,distractor_combined_seed,distractor_mode,dp_budget_seconds,min_on_seconds,max_on_seconds,on_step_seconds,single_presentations_per_distractor,no_adjacent_episode_overlap
P_20260531_190718,S_20260531_190353,POISON,DP,OFF,47,5,D1,FlyMushroom,0.1666667,200532,205532,5000,5000,10650,15650,1,D1,-517348496,1733118110,ConditionCatalog,105,3.5,8.5,0.5,4,true
P_20260531_190718,S_20260531_190353,POISON,DP,ON,48,6,D5,Zombie,0.1666667,205562,,4000,,15680,,1,D5,-517348496,1733118110,ConditionCatalog,105,3.5,8.5,0.5,4,true
