participant_id,session_id,island_id,phase,event_type,trial_index,phase_trial_index,distractor_id,distractor_name,weight_target,onset_ms,offset_ms,planned_duration_ms,actual_duration_ms,dp_elapsed_onset_ms,dp_elapsed_offset_ms,active_count_at_onset,active_set_at_onset,distractor_base_seed,distractor_combined_seed,distractor_mode,dp_budget_seconds,min_on_seconds,max_on_seconds,on_step_seconds,single_presentations_per_distractor,no_adjacent_episode_overlap
002_DOAN_2026-04-14,S_20260414_181116,CARDS,DP,ON,,,D1,Phoenix,0.1666667,186238,,5000,,5,,1,D1,1071200077,-1509073106,ConditionCatalog,105,3.5,8.5,0.5,3,true
002_DOAN_2026-04-14,S_20260414_181116,CARDS,DP,OFF,,,D1,Phoenix,0.1666667,186238,191238,5000,5000,5,5005,1,D1,1071200077,-1509073106,ConditionCatalog,105,3.5,8.5,0.5,3,true
